a3\o4,0,1,2,3,4,5,6,7,8,9
0,19998,19899,19932,20218,20030,19923,20137,20146,19906,20101
1,20093,20010,20135,19920,19937,19737,20203,20100,20190,19979
2,19967,20023,20164,20116,19709,19935,19964,19966,19941,19949
3,20140,20152,20099,19776,20301,19986,20087,20127,19796,20060
4,20040,19826,19926,20160,20085,20163,20046,19998,20132,20069
5,19807,20057,19994,20125,20324,19740,19998,19756,19897,19755
6,20094,19909,20025,19732,19822,20276,20026,20198,20123,20118
7,19893,20114,20047,20019,19823,20061,20081,20035,19964,20000
8,19852,19914,19981,19891,20405,20056,19872,19850,19966,19892
9,19826,19542,19901,19788,19837,19979,19848,19859,19712,19868
