row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
47,"1000,1379,1974,9999","1000,1379,1974,9999",pred_iter_150,150,"1079,1379,1979,1979",1379,1974,1379,1979,repeat_last_two
54,"1000,1439,1935,9999","1000,1439,1935,9999",pred_iter_150,150,"1039,1439,1939,1939",1439,1935,1439,1939,repeat_last_two
57,"1000,1459,1950,9999","1000,1459,1950,9999",pred_iter_150,150,"1059,1459,1959,1959",1459,1950,1459,1959,repeat_last_two
61,"1000,1468,1960,9999","1000,1468,1960,9999",pred_iter_150,150,"1060,1460,1960,1960",1468,1960,1460,1960,repeat_last_two
70,"1000,1519,1716,9999","1000,1519,1716,9999",pred_iter_150,150,"1019,1519,1719,1999",1519,1716,1519,1719,repeat_last_two
73,"1000,1539,1931,9999","1000,1539,1931,9999",pred_iter_150,150,"1039,1539,1939,1939",1539,1931,1539,1939,repeat_last_two
83,"1000,1659,1956,9999","1000,1659,1956,9999",pred_iter_150,150,"1059,1659,1959,9959",1659,1956,1659,1959,repeat_last_two
85,"1000,1669,1968,9999","1000,1669,1968,9999",pred_iter_150,150,"1069,1669,1969,9969",1669,1968,1669,1969,repeat_last_two
89,"1000,1711,1910,9999","1000,1711,1910,9999",pred_iter_150,150,"1010,1710,1910,1990",1711,1910,1710,1910,repeat_last_two
99,"1000,1769,1964,9999","1000,1769,1964,9999",pred_iter_150,150,"1069,1769,1969,1969",1769,1964,1769,1969,repeat_last_two
100,"1000,1779,1978,9999","1000,1779,1978,9999",pred_iter_150,150,"1079,1779,1979,9979",1779,1978,1779,1979,repeat_last_two
105,"1000,1829,1928,9999","1000,1829,1928,9999",pred_iter_150,150,"1029,1829,1929,1999",1829,1928,1829,1929,repeat_last_two
106,"1000,1844,1940,9999","1000,1844,1940,9999",pred_iter_150,150,"1040,1840,1940,1940",1844,1940,1840,1940,repeat_last_two
107,"1000,1849,1948,9999","1000,1849,1948,9999",pred_iter_150,150,"1049,1849,1949,9949",1849,1948,1849,1949,repeat_last_two
108,"1000,1859,1956,9999","1000,1859,1956,9999",pred_iter_150,150,"1059,1859,1959,9959",1859,1956,1859,1959,repeat_last_two
