row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
316,"1000,3844,3942,9999","1000,3844,3942,9999",pred_iter_150,150,"1044,3842,3944,9944",3844,3942,3842,3944,swap_last_digit
163,"1000,2422,2621,9999","1000,2422,2621,9999",pred_iter_200,200,"2000,2421,2622,9999",2422,2621,2421,2622,swap_last_digit
210,"1000,2778,2872,9999","1000,2778,2872,9999",pred_iter_200,200,"2000,2772,2878,9999",2778,2872,2772,2878,swap_last_digit
402,"1000,4655,4854,9999","1000,4655,4854,9999",pred_iter_200,200,"1000,4654,4855,9999",4655,4854,4654,4855,swap_last_digit
462,"1000,5109,5805,9999","1000,5109,5805,9999",pred_iter_200,200,"1009,5105,5809,9999",5109,5805,5105,5809,swap_last_digit
496,"1000,5488,5787,9999","1000,5488,5787,9999",pred_iter_200,200,"1000,5487,5788,9999",5488,5787,5487,5788,swap_last_digit
521,"1000,5669,5764,9999","1000,5669,5764,9999",pred_iter_200,200,"1000,5664,5769,9999",5669,5764,5664,5769,swap_last_digit
531,"1000,5746,5842,9999","1000,5746,5842,9999",pred_iter_200,200,"1000,5742,5846,9999",5746,5842,5742,5846,swap_last_digit
535,"1000,5765,5863,9999","1000,5765,5863,9999",pred_iter_200,200,"1000,5763,5865,9999",5765,5863,5763,5865,swap_last_digit
537,"1000,5775,5874,9999","1000,5775,5874,9999",pred_iter_200,200,"1000,5774,5875,9999",5775,5874,5774,5875,swap_last_digit
567,"1000,6119,6810,9999","1000,6119,6810,9999",pred_iter_200,200,"1019,6110,6819,9999",6119,6810,6110,6819,swap_last_digit
573,"1000,6149,6844,9999","1000,6149,6844,9999",pred_iter_200,200,"1000,6144,6849,9999",6149,6844,6144,6849,swap_last_digit
579,"1000,6169,6861,9999","1000,6169,6861,9999",pred_iter_200,200,"1000,6161,6869,9999",6169,6861,6161,6869,swap_last_digit
608,"1000,6476,6875,9999","1000,6476,6875,9999",pred_iter_200,200,"1000,6475,6876,9999",6476,6875,6475,6876,swap_last_digit
618,"1000,6527,6725,9999","1000,6527,6725,9999",pred_iter_200,200,"1000,6525,6727,9999",6527,6725,6525,6727,swap_last_digit
634,"1000,6647,6846,9999","1000,6647,6846,9999",pred_iter_200,200,"1000,6646,6847,9999",6647,6846,6646,6847,swap_last_digit
636,"1000,6688,6883,9999","1000,6688,6883,9999",pred_iter_200,200,"1000,6683,6888,9999",6688,6883,6683,6888,swap_last_digit
649,"1000,6764,6863,9999","1000,6764,6863,9999",pred_iter_200,200,"1000,6763,6864,9999",6764,6863,6763,6864,swap_last_digit
701,"1000,7309,7508,9999","1000,7309,7508,9999",pred_iter_200,200,"1009,7308,7509,9999",7309,7508,7308,7509,swap_last_digit
725,"1000,7568,7862,9999","1000,7568,7862,9999",pred_iter_200,200,"1000,7562,7868,9999",7568,7862,7562,7868,swap_last_digit
742,"1000,7688,7782,9999","1000,7688,7782,9999",pred_iter_200,200,"1000,7682,7788,9999",7688,7782,7682,7788,swap_last_digit
790,"1000,8109,8805,9999","1000,8109,8805,9999",pred_iter_200,200,"1009,8105,8809,9999",8109,8805,8105,8809,swap_last_digit
797,"1000,8147,8843,9999","1000,8147,8843,9999",pred_iter_200,200,"1000,8143,8847,9999",8147,8843,8143,8847,swap_last_digit
815,"1000,8267,8461,9999","1000,8267,8461,9999",pred_iter_200,200,"1000,8261,8467,9999",8267,8461,8261,8467,swap_last_digit
816,"1000,8268,8563,9999","1000,8268,8563,9999",pred_iter_200,200,"1000,8263,8568,9999",8268,8563,8263,8568,swap_last_digit
818,"1000,8269,8563,9999","1000,8269,8563,9999",pred_iter_200,200,"1000,8263,8569,9999",8269,8563,8263,8569,swap_last_digit
830,"1000,8367,8663,9999","1000,8367,8663,9999",pred_iter_200,200,"1000,8363,8667,9999",8367,8663,8363,8667,swap_last_digit
835,"1000,8422,8821,9999","1000,8422,8821,9999",pred_iter_200,200,"1000,8421,8822,9999",8422,8821,8421,8822,swap_last_digit
852,"1000,8564,8861,9999","1000,8564,8861,9999",pred_iter_200,200,"1000,8561,8864,9999",8564,8861,8561,8864,swap_last_digit
858,"1000,8615,8813,9999","1000,8615,8813,9999",pred_iter_200,200,"1000,8613,8815,9999",8615,8813,8613,8815,swap_last_digit
861,"1000,8683,8782,9999","1000,8683,8782,9999",pred_iter_200,200,"1000,8682,8783,9999",8683,8782,8682,8783,swap_last_digit
866,"1000,8714,8813,9999","1000,8714,8813,9999",pred_iter_200,200,"1000,8713,8814,9999",8714,8813,8713,8814,swap_last_digit
899,"1000,9168,9364,9999","1000,9168,9364,9999",pred_iter_200,200,"1000,9164,9368,9999",9168,9364,9164,9368,swap_last_digit
908,"1000,9255,9852,9999","1000,9255,9852,9999",pred_iter_200,200,"1000,9252,9855,9999",9255,9852,9252,9855,swap_last_digit
917,"1000,9327,9423,9999","1000,9327,9423,9999",pred_iter_200,200,"1000,9323,9427,9999",9327,9423,9323,9427,swap_last_digit
928,"1000,9375,9773,9999","1000,9375,9773,9999",pred_iter_200,200,"1000,9373,9775,9999",9375,9773,9373,9775,swap_last_digit
930,"1000,9385,9681,9999","1000,9385,9681,9999",pred_iter_200,200,"1000,9381,9685,9999",9385,9681,9381,9685,swap_last_digit
936,"1000,9424,9823,9999","1000,9424,9823,9999",pred_iter_200,200,"1000,9423,9824,9899",9424,9823,9423,9824,swap_last_digit
947,"1000,9509,9708,9999","1000,9509,9708,9999",pred_iter_200,200,"1009,9508,9709,9999",9509,9708,9508,9709,swap_last_digit
961,"1000,9683,9881,9999","1000,9683,9881,9999",pred_iter_200,200,"1000,9681,9883,9999",9683,9881,9681,9883,swap_last_digit
4,"1000,1038,1931,9999","1000,1038,1931,9999",pred_iter_250,250,"1000,1031,1938,9999",1038,1931,1031,1938,swap_last_digit
9,"1000,1079,1878,9999","1000,1079,1878,9999",pred_iter_250,250,"1000,1078,1879,9999",1079,1878,1078,1879,swap_last_digit
12,"1000,1102,1300,9999","1000,1102,1300,9999",pred_iter_250,250,"1000,1100,1302,1999",1102,1300,1100,1302,swap_last_digit
14,"1000,1129,1528,9999","1000,1129,1528,9999",pred_iter_250,250,"1000,1128,1529,9999",1129,1528,1128,1529,swap_last_digit
15,"1000,1148,1346,9999","1000,1148,1346,9999",pred_iter_250,250,"1000,1146,1348,9999",1148,1346,1146,1348,swap_last_digit
17,"1000,1157,1553,9999","1000,1157,1553,9999",pred_iter_250,250,"1000,1153,1557,9999",1157,1553,1153,1557,swap_last_digit
18,"1000,1167,1664,9999","1000,1167,1664,9999",pred_iter_250,250,"1000,1164,1667,9999",1167,1664,1164,1667,swap_last_digit
19,"1000,1169,1468,9999","1000,1169,1468,9999",pred_iter_250,250,"1000,1168,1469,9999",1169,1468,1168,1469,swap_last_digit
20,"1000,1177,1372,9999","1000,1177,1372,9999",pred_iter_250,250,"1000,1172,1377,1999",1177,1372,1172,1377,swap_last_digit
21,"1000,1179,1678,9999","1000,1179,1678,9999",pred_iter_250,250,"1000,1178,1679,9999",1179,1678,1178,1679,swap_last_digit
22,"1000,1179,1778,9999","1000,1179,1778,9999",pred_iter_250,250,"1000,1178,1779,9999",1179,1778,1178,1779,swap_last_digit
23,"1000,1187,1384,9999","1000,1187,1384,9999",pred_iter_250,250,"1000,1184,1387,9999",1187,1384,1184,1387,swap_last_digit
27,"1000,1228,1622,9999","1000,1228,1622,9999",pred_iter_250,250,"1000,1222,1628,9999",1228,1622,1222,1628,swap_last_digit
31,"1000,1248,1646,9999","1000,1248,1646,9999",pred_iter_250,250,"1000,1246,1648,9999",1248,1646,1246,1648,swap_last_digit
33,"1000,1267,1464,9999","1000,1267,1464,9999",pred_iter_250,250,"1000,1264,1467,9999",1267,1464,1264,1467,swap_last_digit
34,"1000,1289,1488,9999","1000,1289,1488,9999",pred_iter_250,250,"1000,1288,1489,9999",1289,1488,1288,1489,swap_last_digit
40,"1000,1334,1633,9999","1000,1334,1633,9999",pred_iter_250,250,"1000,1333,1634,9999",1334,1633,1333,1634,swap_last_digit
41,"1000,1337,1734,9999","1000,1337,1734,9999",pred_iter_250,250,"1000,1334,1737,9999",1337,1734,1334,1737,swap_last_digit
46,"1000,1368,1661,9999","1000,1368,1661,9999",pred_iter_250,250,"1000,1361,1668,9999",1368,1661,1361,1668,swap_last_digit
48,"1000,1389,1486,9999","1000,1389,1486,9999",pred_iter_250,250,"1000,1386,1489,9999",1389,1486,1386,1489,swap_last_digit
50,"1000,1404,1603,9999","1000,1404,1603,9999",pred_iter_250,250,"1000,1403,1604,9999",1404,1603,1403,1604,swap_last_digit
52,"1000,1436,1635,9999","1000,1436,1635,9999",pred_iter_250,250,"1000,1435,1636,9999",1436,1635,1435,1636,swap_last_digit
60,"1000,1468,1862,9999","1000,1468,1862,9999",pred_iter_250,250,"1000,1462,1868,9999",1468,1862,1462,1868,swap_last_digit
62,"1000,1475,1674,9999","1000,1475,1674,9999",pred_iter_250,250,"1000,1474,1675,9999",1475,1674,1474,1675,swap_last_digit
63,"1000,1476,1574,9999","1000,1476,1574,9999",pred_iter_250,250,"1000,1474,1576,9999",1476,1574,1474,1576,swap_last_digit
64,"1000,1477,1671,9999","1000,1477,1671,9999",pred_iter_250,250,"1000,1471,1677,1999",1477,1671,1471,1677,swap_last_digit
65,"1000,1486,1683,9999","1000,1486,1683,9999",pred_iter_250,250,"1000,1483,1686,9999",1486,1683,1483,1686,swap_last_digit
66,"1000,1488,1986,9999","1000,1488,1986,9999",pred_iter_250,250,"1000,1486,1988,9999",1488,1986,1486,1988,swap_last_digit
70,"1000,1519,1716,9999","1000,1519,1716,9999",pred_iter_250,250,"1000,1516,1719,9999",1519,1716,1516,1719,swap_last_digit
71,"1000,1528,1923,9999","1000,1528,1923,9999",pred_iter_250,250,"1000,1523,1928,9999",1528,1923,1523,1928,swap_last_digit
78,"1000,1634,1731,9999","1000,1634,1731,9999",pred_iter_250,250,"1000,1631,1734,9999",1634,1731,1631,1734,swap_last_digit
85,"1000,1669,1968,9999","1000,1669,1968,9999",pred_iter_250,250,"1000,1668,1969,9999",1669,1968,1668,1969,swap_last_digit
86,"1000,1678,1972,9999","1000,1678,1972,9999",pred_iter_250,250,"1000,1672,1978,9999",1678,1972,1672,1978,swap_last_digit
87,"1000,1684,1882,9999","1000,1684,1882,9999",pred_iter_250,250,"1000,1682,1884,9999",1684,1882,1682,1884,swap_last_digit
88,"1000,1705,1802,9999","1000,1705,1802,9999",pred_iter_250,250,"1000,1702,1805,9999",1705,1802,1702,1805,swap_last_digit
90,"1000,1719,1818,9999","1000,1719,1818,9999",pred_iter_250,250,"1000,1718,1819,9999",1719,1818,1718,1819,swap_last_digit
91,"1000,1723,1822,9999","1000,1723,1822,9999",pred_iter_250,250,"1000,1722,1823,9999",1723,1822,1722,1823,swap_last_digit
97,"1000,1757,1954,9999","1000,1757,1954,9999",pred_iter_250,250,"1000,1754,1957,9999",1757,1954,1754,1957,swap_last_digit
98,"1000,1768,1864,9999","1000,1768,1864,9999",pred_iter_250,250,"1000,1764,1868,9999",1768,1864,1764,1868,swap_last_digit
100,"1000,1779,1978,9999","1000,1779,1978,9999",pred_iter_250,250,"1000,1778,1979,9999",1779,1978,1778,1979,swap_last_digit
101,"1000,1788,1984,9999","1000,1788,1984,9999",pred_iter_250,250,"1000,1784,1988,9999",1788,1984,1784,1988,swap_last_digit
104,"1000,1827,1925,9999","1000,1827,1925,9999",pred_iter_250,250,"1000,1825,1927,9999",1827,1925,1825,1927,swap_last_digit
105,"1000,1829,1928,9999","1000,1829,1928,9999",pred_iter_250,250,"1000,1828,1929,9999",1829,1928,1828,1929,swap_last_digit
109,"1000,1877,1972,9999","1000,1877,1972,9999",pred_iter_250,250,"1000,1872,1977,9999",1877,1972,1872,1977,swap_last_digit
110,"1000,1878,1971,9999","1000,1878,1971,9999",pred_iter_250,250,"1000,1871,1978,9999",1878,1971,1871,1978,swap_last_digit
127,"1000,2068,2663,9999","1000,2068,2663,9999",pred_iter_250,250,"1000,2063,2668,9999",2068,2663,2063,2668,swap_last_digit
131,"1000,2108,2202,9999","1000,2108,2202,9999",pred_iter_250,250,"1000,2102,2208,9999",2108,2202,2102,2208,swap_last_digit
133,"1000,2127,2726,9999","1000,2127,2726,9999",pred_iter_250,250,"1000,2126,2727,9999",2127,2726,2126,2727,swap_last_digit
137,"1000,2147,2546,9999","1000,2147,2546,9999",pred_iter_250,250,"1000,2146,2547,9999",2147,2546,2146,2547,swap_last_digit
139,"1000,2186,2383,9999","1000,2186,2383,9999",pred_iter_250,250,"1000,2183,2386,9999",2186,2383,2183,2386,swap_last_digit
140,"1000,2189,2388,9999","1000,2189,2388,9999",pred_iter_250,250,"1000,2188,2389,9999",2189,2388,2188,2389,swap_last_digit
150,"1000,2265,2763,9999","1000,2265,2763,9999",pred_iter_250,250,"1000,2263,2765,9999",2265,2763,2263,2765,swap_last_digit
156,"1000,2323,2922,9999","1000,2323,2922,9999",pred_iter_250,250,"1000,2322,2923,9999",2323,2922,2322,2923,swap_last_digit
159,"1000,2378,2874,9999","1000,2378,2874,9999",pred_iter_250,250,"1000,2374,2878,9999",2378,2874,2374,2878,swap_last_digit
160,"1000,2387,2786,9999","1000,2387,2786,9999",pred_iter_250,250,"1000,2386,2787,9999",2387,2786,2386,2787,swap_last_digit
161,"1000,2389,2983,9999","1000,2389,2983,9999",pred_iter_250,250,"1000,2383,2989,9999",2389,2983,2383,2989,swap_last_digit
162,"1000,2417,2814,9999","1000,2417,2814,9999",pred_iter_250,250,"1000,2414,2817,9999",2417,2814,2414,2817,swap_last_digit
163,"1000,2422,2621,9999","1000,2422,2621,9999",pred_iter_250,250,"1000,2421,2622,9999",2422,2621,2421,2622,swap_last_digit
165,"1000,2434,2531,9999","1000,2434,2531,9999",pred_iter_250,250,"1000,2431,2534,9999",2434,2531,2431,2534,swap_last_digit
168,"1000,2447,2741,9999","1000,2447,2741,9999",pred_iter_250,250,"1000,2441,2747,9999",2447,2741,2441,2747,swap_last_digit
169,"1000,2467,2766,9999","1000,2467,2766,9999",pred_iter_250,250,"1000,2466,2767,9999",2467,2766,2466,2767,swap_last_digit
171,"1000,2469,2568,9999","1000,2469,2568,9999",pred_iter_250,250,"1000,2468,2569,9999",2469,2568,2468,2569,swap_last_digit
173,"1000,2479,2878,9999","1000,2479,2878,9999",pred_iter_250,250,"1000,2478,2879,9999",2479,2878,2478,2879,swap_last_digit
176,"1000,2516,2615,9999","1000,2516,2615,9999",pred_iter_250,250,"1000,2515,2616,9999",2516,2615,2515,2616,swap_last_digit
178,"1000,2527,2721,9999","1000,2527,2721,9999",pred_iter_250,250,"1000,2521,2727,9999",2527,2721,2521,2727,swap_last_digit
189,"1000,2627,2923,9999","1000,2627,2923,9999",pred_iter_250,250,"1000,2623,2927,9999",2627,2923,2623,2927,swap_last_digit
193,"1000,2638,2833,9999","1000,2638,2833,9999",pred_iter_250,250,"1000,2633,2838,9999",2638,2833,2633,2838,swap_last_digit
198,"1000,2675,2874,9999","1000,2675,2874,9999",pred_iter_250,250,"1000,2674,2875,9999",2675,2874,2674,2875,swap_last_digit
199,"1000,2677,2872,9999","1000,2677,2872,9999",pred_iter_250,250,"1000,2672,2877,9999",2677,2872,2672,2877,swap_last_digit
210,"1000,2778,2872,9999","1000,2778,2872,9999",pred_iter_250,250,"1000,2772,2878,9999",2778,2872,2772,2878,swap_last_digit
211,"1000,2778,2876,9999","1000,2778,2876,9999",pred_iter_250,250,"1000,2776,2878,9999",2778,2876,2776,2878,swap_last_digit
212,"1000,2779,2877,9999","1000,2779,2877,9999",pred_iter_250,250,"1000,2777,2879,9999",2779,2877,2777,2879,swap_last_digit
214,"1000,2789,2888,9999","1000,2789,2888,9999",pred_iter_250,250,"1000,2788,2889,9999",2789,2888,2788,2889,swap_last_digit
216,"1000,2825,2921,9999","1000,2825,2921,9999",pred_iter_250,250,"1000,2821,2925,9999",2825,2921,2821,2925,swap_last_digit
233,"1000,3105,3404,9999","1000,3105,3404,9999",pred_iter_250,250,"1000,3104,3405,9999",3105,3404,3104,3405,swap_last_digit
237,"1000,3124,3221,9999","1000,3124,3221,9999",pred_iter_250,250,"1000,3121,3224,9999",3124,3221,3121,3224,swap_last_digit
238,"1000,3127,3523,9999","1000,3127,3523,9999",pred_iter_250,250,"1000,3123,3527,9999",3127,3523,3123,3527,swap_last_digit
241,"1000,3169,3568,9999","1000,3169,3568,9999",pred_iter_250,250,"1000,3168,3569,9999",3169,3568,3168,3569,swap_last_digit
242,"1000,3175,3872,9999","1000,3175,3872,9999",pred_iter_250,250,"1000,3172,3875,9999",3175,3872,3172,3875,swap_last_digit
245,"1000,3217,3814,9999","1000,3217,3814,9999",pred_iter_250,250,"1000,3214,3817,9999",3217,3814,3214,3817,swap_last_digit
246,"1000,3228,3425,9999","1000,3228,3425,9999",pred_iter_250,250,"1000,3225,3428,9999",3228,3425,3225,3428,swap_last_digit
249,"1000,3257,3956,9999","1000,3257,3956,9999",pred_iter_250,250,"1000,3256,3957,9999",3257,3956,3256,3957,swap_last_digit
252,"1000,3287,3386,9999","1000,3287,3386,9999",pred_iter_250,250,"1000,3286,3387,9999",3287,3386,3286,3387,swap_last_digit
253,"1000,3288,3886,9999","1000,3288,3886,9999",pred_iter_250,250,"1000,3286,3888,9999",3288,3886,3286,3888,swap_last_digit
259,"1000,3317,3615,9999","1000,3317,3615,9999",pred_iter_250,250,"1000,3315,3617,9999",3317,3615,3315,3617,swap_last_digit
262,"1000,3328,3625,9999","1000,3328,3625,9999",pred_iter_250,250,"1000,3325,3628,9999",3328,3625,3325,3628,swap_last_digit
274,"1000,3456,3755,9999","1000,3456,3755,9999",pred_iter_250,250,"1000,3455,3756,9999",3456,3755,3455,3756,swap_last_digit
275,"1000,3463,3662,9999","1000,3463,3662,9999",pred_iter_250,250,"1000,3462,3663,9999",3463,3662,3462,3663,swap_last_digit
279,"1000,3489,3686,9999","1000,3489,3686,9999",pred_iter_250,250,"1000,3486,3689,9999",3489,3686,3486,3689,swap_last_digit
285,"1000,3545,3944,9999","1000,3545,3944,9999",pred_iter_250,250,"1000,3544,3945,9999",3545,3944,3544,3945,swap_last_digit
288,"1000,3588,3687,9999","1000,3588,3687,9999",pred_iter_250,250,"1000,3587,3688,9999",3588,3687,3587,3688,swap_last_digit
292,"1000,3638,3733,9999","1000,3638,3733,9999",pred_iter_250,250,"1000,3633,3738,9999",3638,3733,3633,3738,swap_last_digit
296,"1000,3678,3776,9999","1000,3678,3776,9999",pred_iter_250,250,"1000,3676,3778,9999",3678,3776,3676,3778,swap_last_digit
308,"1000,3787,3982,9999","1000,3787,3982,9999",pred_iter_250,250,"1000,3782,3987,9999",3787,3982,3782,3987,swap_last_digit
309,"1000,3788,3981,9999","1000,3788,3981,9999",pred_iter_250,250,"1000,3781,3988,9999",3788,3981,3781,3988,swap_last_digit
310,"1000,3789,3882,9999","1000,3789,3882,9999",pred_iter_250,250,"1000,3782,3889,9999",3789,3882,3782,3889,swap_last_digit
311,"1000,3789,3885,9999","1000,3789,3885,9999",pred_iter_250,250,"1000,3785,3889,9999",3789,3885,3785,3889,swap_last_digit
314,"1000,3824,3921,9999","1000,3824,3921,9999",pred_iter_250,250,"1000,3821,3924,9999",3824,3921,3821,3924,swap_last_digit
319,"1000,3887,3984,9999","1000,3887,3984,9999",pred_iter_250,250,"1000,3884,3987,9999",3887,3984,3884,3987,swap_last_digit
320,"1000,3887,3985,9999","1000,3887,3985,9999",pred_iter_250,250,"1000,3885,3987,9999",3887,3985,3885,3987,swap_last_digit
321,"1000,3889,3988,9999","1000,3889,3988,9999",pred_iter_250,250,"1000,3888,3989,9999",3889,3988,3888,3989,swap_last_digit
324,"1000,4036,4833,9999","1000,4036,4833,9999",pred_iter_250,250,"1000,4033,4836,9999",4036,4833,4033,4836,swap_last_digit
325,"1000,4038,4335,9999","1000,4038,4335,9999",pred_iter_250,250,"1000,4035,4338,9999",4038,4335,4035,4338,swap_last_digit
328,"1000,4039,4638,9999","1000,4039,4638,9999",pred_iter_250,250,"1000,4038,4639,9999",4039,4638,4038,4639,swap_last_digit
339,"1000,4128,4726,9999","1000,4128,4726,9999",pred_iter_250,250,"1000,4126,4728,9999",4128,4726,4126,4728,swap_last_digit
344,"1000,4158,4252,9999","1000,4158,4252,9999",pred_iter_250,250,"1000,4152,4258,9999",4158,4252,4152,4258,swap_last_digit
345,"1000,4159,4458,9999","1000,4159,4458,9999",pred_iter_250,250,"1000,4158,4459,9999",4159,4458,4158,4459,swap_last_digit
347,"1000,4179,4771,9999","1000,4179,4771,9999",pred_iter_250,250,"1000,4171,4779,9999",4179,4771,4171,4779,swap_last_digit
351,"1000,4229,4828,9999","1000,4229,4828,9999",pred_iter_250,250,"1000,4228,4829,9999",4229,4828,4228,4829,swap_last_digit
356,"1000,4277,4475,9999","1000,4277,4475,9999",pred_iter_250,250,"1000,4275,4477,9999",4277,4475,4275,4477,swap_last_digit
357,"1000,4277,4574,9999","1000,4277,4574,9999",pred_iter_250,250,"1000,4274,4577,9999",4277,4574,4274,4577,swap_last_digit
358,"1000,4279,4878,9999","1000,4279,4878,9999",pred_iter_250,250,"1000,4278,4879,9999",4279,4878,4278,4879,swap_last_digit
362,"1000,4348,4945,9999","1000,4348,4945,9999",pred_iter_250,250,"1000,4345,4948,9999",4348,4945,4345,4948,swap_last_digit
