row_index,operands,actual,pred_col,iter,pred,A1,A2,P1,P2,error_type
316,"1000,3844,3942,9999","1000,3844,3942,9999",pred_iter_150,150,"1044,3842,3944,9944",3844,3942,3842,3944,swap_last_two
163,"1000,2422,2621,9999","1000,2422,2621,9999",pred_iter_200,200,"2000,2421,2622,9999",2422,2621,2421,2622,swap_last_two
210,"1000,2778,2872,9999","1000,2778,2872,9999",pred_iter_200,200,"2000,2772,2878,9999",2778,2872,2772,2878,swap_last_two
402,"1000,4655,4854,9999","1000,4655,4854,9999",pred_iter_200,200,"1000,4654,4855,9999",4655,4854,4654,4855,swap_last_two
462,"1000,5109,5805,9999","1000,5109,5805,9999",pred_iter_200,200,"1009,5105,5809,9999",5109,5805,5105,5809,swap_last_two
496,"1000,5488,5787,9999","1000,5488,5787,9999",pred_iter_200,200,"1000,5487,5788,9999",5488,5787,5487,5788,swap_last_two
521,"1000,5669,5764,9999","1000,5669,5764,9999",pred_iter_200,200,"1000,5664,5769,9999",5669,5764,5664,5769,swap_last_two
531,"1000,5746,5842,9999","1000,5746,5842,9999",pred_iter_200,200,"1000,5742,5846,9999",5746,5842,5742,5846,swap_last_two
535,"1000,5765,5863,9999","1000,5765,5863,9999",pred_iter_200,200,"1000,5763,5865,9999",5765,5863,5763,5865,swap_last_two
537,"1000,5775,5874,9999","1000,5775,5874,9999",pred_iter_200,200,"1000,5774,5875,9999",5775,5874,5774,5875,swap_last_two
567,"1000,6119,6810,9999","1000,6119,6810,9999",pred_iter_200,200,"1019,6110,6819,9999",6119,6810,6110,6819,swap_last_two
573,"1000,6149,6844,9999","1000,6149,6844,9999",pred_iter_200,200,"1000,6144,6849,9999",6149,6844,6144,6849,swap_last_two
579,"1000,6169,6861,9999","1000,6169,6861,9999",pred_iter_200,200,"1000,6161,6869,9999",6169,6861,6161,6869,swap_last_two
608,"1000,6476,6875,9999","1000,6476,6875,9999",pred_iter_200,200,"1000,6475,6876,9999",6476,6875,6475,6876,swap_last_two
618,"1000,6527,6725,9999","1000,6527,6725,9999",pred_iter_200,200,"1000,6525,6727,9999",6527,6725,6525,6727,swap_last_two
634,"1000,6647,6846,9999","1000,6647,6846,9999",pred_iter_200,200,"1000,6646,6847,9999",6647,6846,6646,6847,swap_last_two
636,"1000,6688,6883,9999","1000,6688,6883,9999",pred_iter_200,200,"1000,6683,6888,9999",6688,6883,6683,6888,swap_last_two
649,"1000,6764,6863,9999","1000,6764,6863,9999",pred_iter_200,200,"1000,6763,6864,9999",6764,6863,6763,6864,swap_last_two
701,"1000,7309,7508,9999","1000,7309,7508,9999",pred_iter_200,200,"1009,7308,7509,9999",7309,7508,7308,7509,swap_last_two
725,"1000,7568,7862,9999","1000,7568,7862,9999",pred_iter_200,200,"1000,7562,7868,9999",7568,7862,7562,7868,swap_last_two
742,"1000,7688,7782,9999","1000,7688,7782,9999",pred_iter_200,200,"1000,7682,7788,9999",7688,7782,7682,7788,swap_last_two
790,"1000,8109,8805,9999","1000,8109,8805,9999",pred_iter_200,200,"1009,8105,8809,9999",8109,8805,8105,8809,swap_last_two
797,"1000,8147,8843,9999","1000,8147,8843,9999",pred_iter_200,200,"1000,8143,8847,9999",8147,8843,8143,8847,swap_last_two
815,"1000,8267,8461,9999","1000,8267,8461,9999",pred_iter_200,200,"1000,8261,8467,9999",8267,8461,8261,8467,swap_last_two
816,"1000,8268,8563,9999","1000,8268,8563,9999",pred_iter_200,200,"1000,8263,8568,9999",8268,8563,8263,8568,swap_last_two
818,"1000,8269,8563,9999","1000,8269,8563,9999",pred_iter_200,200,"1000,8263,8569,9999",8269,8563,8263,8569,swap_last_two
830,"1000,8367,8663,9999","1000,8367,8663,9999",pred_iter_200,200,"1000,8363,8667,9999",8367,8663,8363,8667,swap_last_two
835,"1000,8422,8821,9999","1000,8422,8821,9999",pred_iter_200,200,"1000,8421,8822,9999",8422,8821,8421,8822,swap_last_two
852,"1000,8564,8861,9999","1000,8564,8861,9999",pred_iter_200,200,"1000,8561,8864,9999",8564,8861,8561,8864,swap_last_two
858,"1000,8615,8813,9999","1000,8615,8813,9999",pred_iter_200,200,"1000,8613,8815,9999",8615,8813,8613,8815,swap_last_two
861,"1000,8683,8782,9999","1000,8683,8782,9999",pred_iter_200,200,"1000,8682,8783,9999",8683,8782,8682,8783,swap_last_two
866,"1000,8714,8813,9999","1000,8714,8813,9999",pred_iter_200,200,"1000,8713,8814,9999",8714,8813,8713,8814,swap_last_two
899,"1000,9168,9364,9999","1000,9168,9364,9999",pred_iter_200,200,"1000,9164,9368,9999",9168,9364,9164,9368,swap_last_two
908,"1000,9255,9852,9999","1000,9255,9852,9999",pred_iter_200,200,"1000,9252,9855,9999",9255,9852,9252,9855,swap_last_two
917,"1000,9327,9423,9999","1000,9327,9423,9999",pred_iter_200,200,"1000,9323,9427,9999",9327,9423,9323,9427,swap_last_two
928,"1000,9375,9773,9999","1000,9375,9773,9999",pred_iter_200,200,"1000,9373,9775,9999",9375,9773,9373,9775,swap_last_two
930,"1000,9385,9681,9999","1000,9385,9681,9999",pred_iter_200,200,"1000,9381,9685,9999",9385,9681,9381,9685,swap_last_two
936,"1000,9424,9823,9999","1000,9424,9823,9999",pred_iter_200,200,"1000,9423,9824,9899",9424,9823,9423,9824,swap_last_two
947,"1000,9509,9708,9999","1000,9509,9708,9999",pred_iter_200,200,"1009,9508,9709,9999",9509,9708,9508,9709,swap_last_two
961,"1000,9683,9881,9999","1000,9683,9881,9999",pred_iter_200,200,"1000,9681,9883,9999",9683,9881,9681,9883,swap_last_two
4,"1000,1038,1931,9999","1000,1038,1931,9999",pred_iter_250,250,"1000,1031,1938,9999",1038,1931,1031,1938,swap_last_two
9,"1000,1079,1878,9999","1000,1079,1878,9999",pred_iter_250,250,"1000,1078,1879,9999",1079,1878,1078,1879,swap_last_two
12,"1000,1102,1300,9999","1000,1102,1300,9999",pred_iter_250,250,"1000,1100,1302,1999",1102,1300,1100,1302,swap_last_two
14,"1000,1129,1528,9999","1000,1129,1528,9999",pred_iter_250,250,"1000,1128,1529,9999",1129,1528,1128,1529,swap_last_two
15,"1000,1148,1346,9999","1000,1148,1346,9999",pred_iter_250,250,"1000,1146,1348,9999",1148,1346,1146,1348,swap_last_two
17,"1000,1157,1553,9999","1000,1157,1553,9999",pred_iter_250,250,"1000,1153,1557,9999",1157,1553,1153,1557,swap_last_two
18,"1000,1167,1664,9999","1000,1167,1664,9999",pred_iter_250,250,"1000,1164,1667,9999",1167,1664,1164,1667,swap_last_two
19,"1000,1169,1468,9999","1000,1169,1468,9999",pred_iter_250,250,"1000,1168,1469,9999",1169,1468,1168,1469,swap_last_two
20,"1000,1177,1372,9999","1000,1177,1372,9999",pred_iter_250,250,"1000,1172,1377,1999",1177,1372,1172,1377,swap_last_two
21,"1000,1179,1678,9999","1000,1179,1678,9999",pred_iter_250,250,"1000,1178,1679,9999",1179,1678,1178,1679,swap_last_two
22,"1000,1179,1778,9999","1000,1179,1778,9999",pred_iter_250,250,"1000,1178,1779,9999",1179,1778,1178,1779,swap_last_two
23,"1000,1187,1384,9999","1000,1187,1384,9999",pred_iter_250,250,"1000,1184,1387,9999",1187,1384,1184,1387,swap_last_two
27,"1000,1228,1622,9999","1000,1228,1622,9999",pred_iter_250,250,"1000,1222,1628,9999",1228,1622,1222,1628,swap_last_two
31,"1000,1248,1646,9999","1000,1248,1646,9999",pred_iter_250,250,"1000,1246,1648,9999",1248,1646,1246,1648,swap_last_two
33,"1000,1267,1464,9999","1000,1267,1464,9999",pred_iter_250,250,"1000,1264,1467,9999",1267,1464,1264,1467,swap_last_two
34,"1000,1289,1488,9999","1000,1289,1488,9999",pred_iter_250,250,"1000,1288,1489,9999",1289,1488,1288,1489,swap_last_two
40,"1000,1334,1633,9999","1000,1334,1633,9999",pred_iter_250,250,"1000,1333,1634,9999",1334,1633,1333,1634,swap_last_two
41,"1000,1337,1734,9999","1000,1337,1734,9999",pred_iter_250,250,"1000,1334,1737,9999",1337,1734,1334,1737,swap_last_two
46,"1000,1368,1661,9999","1000,1368,1661,9999",pred_iter_250,250,"1000,1361,1668,9999",1368,1661,1361,1668,swap_last_two
48,"1000,1389,1486,9999","1000,1389,1486,9999",pred_iter_250,250,"1000,1386,1489,9999",1389,1486,1386,1489,swap_last_two
50,"1000,1404,1603,9999","1000,1404,1603,9999",pred_iter_250,250,"1000,1403,1604,9999",1404,1603,1403,1604,swap_last_two
52,"1000,1436,1635,9999","1000,1436,1635,9999",pred_iter_250,250,"1000,1435,1636,9999",1436,1635,1435,1636,swap_last_two
60,"1000,1468,1862,9999","1000,1468,1862,9999",pred_iter_250,250,"1000,1462,1868,9999",1468,1862,1462,1868,swap_last_two
62,"1000,1475,1674,9999","1000,1475,1674,9999",pred_iter_250,250,"1000,1474,1675,9999",1475,1674,1474,1675,swap_last_two
63,"1000,1476,1574,9999","1000,1476,1574,9999",pred_iter_250,250,"1000,1474,1576,9999",1476,1574,1474,1576,swap_last_two
64,"1000,1477,1671,9999","1000,1477,1671,9999",pred_iter_250,250,"1000,1471,1677,1999",1477,1671,1471,1677,swap_last_two
65,"1000,1486,1683,9999","1000,1486,1683,9999",pred_iter_250,250,"1000,1483,1686,9999",1486,1683,1483,1686,swap_last_two
66,"1000,1488,1986,9999","1000,1488,1986,9999",pred_iter_250,250,"1000,1486,1988,9999",1488,1986,1486,1988,swap_last_two
70,"1000,1519,1716,9999","1000,1519,1716,9999",pred_iter_250,250,"1000,1516,1719,9999",1519,1716,1516,1719,swap_last_two
71,"1000,1528,1923,9999","1000,1528,1923,9999",pred_iter_250,250,"1000,1523,1928,9999",1528,1923,1523,1928,swap_last_two
78,"1000,1634,1731,9999","1000,1634,1731,9999",pred_iter_250,250,"1000,1631,1734,9999",1634,1731,1631,1734,swap_last_two
85,"1000,1669,1968,9999","1000,1669,1968,9999",pred_iter_250,250,"1000,1668,1969,9999",1669,1968,1668,1969,swap_last_two
86,"1000,1678,1972,9999","1000,1678,1972,9999",pred_iter_250,250,"1000,1672,1978,9999",1678,1972,1672,1978,swap_last_two
